timestamp, schedule [kW], charge, residual load old [kW], curtailment old [kW], residual load new [kW], curtailment new [kW], V1, V2
2020-01-01T15:30:00+02:00, 0, 1, -99.494, 24.861, -99.494, 24.861, 0, 0
2020-01-01T15:45:00+02:00, 0, 1, -73.426, 2.712, -73.426, 2.712, 0, 0
2020-01-01T16:00:00+02:00, 0, 1, -60.613, 0.0, -60.613, 0.0, 0, 0
2020-01-01T16:15:00+02:00, 0, 1, -61.71, 0.0, -61.71, 0.0, 0, 0
2020-01-01T16:30:00+02:00, 0, 1, -62.926, 0.0, -62.926, 0.0, 0, 0
2020-01-01T16:45:00+02:00, 0, 1, -71.817, 0.0, -71.817, 0.0, 0, 0
2020-01-01T17:00:00+02:00, 0, 1, -84.29, 0.0, -84.29, 0.0, 0, 0
2020-01-01T17:15:00+02:00, 1.989, 1, -94.578, 1.989, -94.578, 0.0, 1.989, 0
2020-01-01T17:30:00+02:00, 3.906, 1, -113.589, 15.863, -113.589, 11.957, 3.906, 0
2020-01-01T17:45:00+02:00, 0, 1, -117.683, 19.611, -117.683, 19.611, 0, 0
2020-01-01T18:00:00+02:00, 0, 1, -113.258, 19.611, -113.258, 19.611, 0, 0
2020-01-01T18:15:00+02:00, 0, 1, -107.378, 19.611, -107.378, 19.611, 0, 0
2020-01-01T18:30:00+02:00, 0, 1, -100.135, 19.611, -100.135, 19.611, 0, 0
2020-01-01T18:45:00+02:00, 0, 1, -95.153, 14.362, -95.153, 14.362, 0, 0
2020-01-01T19:00:00+02:00, 0, 1, -83.581, 10.691, -83.581, 10.691, 0, 0
2020-01-01T19:15:00+02:00, 0, 1, -78.489, 6.105, -78.489, 6.105, 0, 0
2020-01-01T19:30:00+02:00, 0, 1, -84.144, 6.105, -84.144, 6.105, 0, 0
2020-01-01T19:45:00+02:00, 0, 1, -76.979, 6.105, -76.979, 6.105, 0, 0
2020-01-01T20:00:00+02:00, 0, 1, -85.911, 6.105, -85.911, 6.105, 0, 0
2020-01-01T20:15:00+02:00, 0, 1, -94.244, 6.105, -94.244, 6.105, 0, 0
2020-01-01T20:30:00+02:00, 0, 1, -93.237, 6.105, -93.237, 6.105, 0, 0
2020-01-01T20:45:00+02:00, 0, 1, -80.834, 6.105, -80.834, 6.105, 0, 0
2020-01-01T21:00:00+02:00, 0, 1, -68.257, 2.035, -68.257, 2.035, 0, 0
2020-01-01T21:15:00+02:00, 0, 1, -63.636, 0.0, -63.636, 0.0, 0, 0
2020-01-01T21:30:00+02:00, 0, 1, -57.911, 0.0, -57.911, 0.0, 0, 0
2020-01-01T21:45:00+02:00, 0, 1, -51.147, 0.0, -51.147, 0.0, 0, 0
2020-01-01T22:00:00+02:00, 0, 1, -52.947, 0.0, -52.947, 0.0, 0, 0
2020-01-01T22:15:00+02:00, 0, 1, -56.305, 0.0, -56.305, 0.0, 0, 0
2020-01-01T22:30:00+02:00, 0, 1, -68.19, 0.0, -68.19, 0.0, 0, 0
2020-01-01T22:45:00+02:00, 0, 1, -75.458, 0.0, -75.458, 0.0, 0, 0
2020-01-01T23:00:00+02:00, 0, 1, -60.511, 0.0, -60.511, 0.0, 0, 0
2020-01-01T23:15:00+02:00, 0, 1, -54.153, 0.0, -54.153, 0.0, 0, 0
2020-01-01T23:30:00+02:00, 0, 1, -51.951, 0.0, -51.951, 0.0, 0, 0
2020-01-01T23:45:00+02:00, 0, 1, -49.183, 0.0, -49.183, 0.0, 0, 0
2020-01-02T00:00:00+02:00, 0, 1, -75.472, 0.0, -75.472, 0.0, 0, 0
